,lyrics,artist
10,"""There’s a time when the operation of the machine becomes so odious, makes you so sick at heart, that you can’t take part; you can’t even passively take part, and you’ve got to put your bodies upon the gears and upon the wheels, upon the levers, upon all the apparatus, and you’ve got to make it stop."" (Mario Savio)*  To save face / how low can you go Talk a lot of game but yet you don’t know Static on the way / make us all say whoa The people up top push the people down low Get down And obey every word Steady getting mine if you haven’t yet heard Wanna take what I got / don’t be absurd Don’t fight the power / nobody gets hurt If you haven’t heard yet then I’m letting you know There ain’t shit we don’t run when the guns unload And no one make a move unless my people say so Got everything outta control Now everybody go  Steel unload / final blow We the animals take control Hear us now / clear and true Wretches and kings we come for you  So keep pace / how slow can you go Talk a lot of shit and yet you don’t know Fire on the way / make you all say whoa The people up top and the people down low Get down And I’m running it like that The front of the attack is exactly where I’m at Somewhere in between the kick and the hi hat The pen and the contract The pitch and the contact So get with the combat / I’m letting ‘em know There ain’t shit you can say to make me back down no So / push the button let the whole thing blow Spinning everything outta control Now everybody go  Steel unload / final blow We the animals take control Hear us now / clear and true Wretches and kings we come for you Steel unload / fire blow Filthy animals / beat them low Skin and bone / black and blue No more this sun shall beat onto you  From the front to the back and the side to side If you fear what I feel put ‘em up real high  ""There’s a time when the operation of the machine becomes so odious, makes you so sick at heart, that you can’t take part; you can’t even passively take part, and you’ve got to put your bodies upon the gears and upon the wheels, upon the levers, upon all the apparatus, and you’ve got to make it stop. And you’ve got to indicate to the people who run it, to the people who own it, that unless you’re free, the machine will be prevented from working at all.""",linkin-park
11,"LINKIN PARK Miscellaneous PPr:Kut""(feat. Cheapshot, Jubacca, Rasco, Planet Asia Uh, yeah   Why does it feel like night today?  Something in here’s not right today  Why am I so uptight today?  Paranoia’s all I got left  I don’t know what stressed me first  Or how the pressure was fed  But I know just what it feels like  To have a voice in the back of my head  It’s like a face that I hold inside  A face that awakes when I close my eyes  A face that watches everytime I lie  A face that laughs everytime I fall  And watches everything  So, know that when it’s time to sink or swim  That the face inside is hearing me  Right underneath my skin   It’s like I’m paranoid looking over my back  It’s like a whirlwind inside of my head  It’s like I can’t stop what I’m hearing within  It’s like a face inside that’s right beneath my skin   Hey, yo  Here we go again with the pain I feel isn’t real  But in my mind, I find myself in places with names but not faces  My memory races at speeds  Hundred degrees  My sould bleeds, devil must’ve planted the seed  Now it feels like my back’s against the wall  I’m taking the fall  Whenever I call nobody’s responding at all  But I don’t know who I can trust  The screaming my name  I need somebody to help me out of the frame  All I’m trying to do is just master me  All I want to do is smoke a blast-to-beat  But something keeps talking to me  Consciously, responsibly, keeps haunting me from dusk ’til dawn  Everything has something for you  That voice inside of your head got you projecting paranoia  Cold sweat shining on your face  Exposing your purpose  And if I ripped off your skin I’d probably find another person  There’s nothing worse than trying to bring yourself on back from the dead  So I advise you: listen to that voice in the back of your head    It’s like I’m paranoid looking over my back  It’s like a whirlwind inside of my head  It’s like I can’t stop what I’m hearing within  It’s like a face inside that’s right beneath my skin   It’s like I’m paranoid looking over my back  It’s like a whirlwind inside of my head  It’s like I can’t stop what I’m hearing within  It’s like a face inside that’s right beneath my skin   The face inside is right beneath your skin  The face inside is right beneath your skin  The face inside is right beneath your skin  The face inside is right beneath your skin   The sun goes down  I feel the light betray me  The sun goes down  It’s like I’m paranoid  I feel the light betray me  The sun goes down  Can’t stop what I’m hearing within  It’s like the face inside is right beneath my skin   It’s like I’m paranoid looking over my back  It’s like a whirlwind inside of my head  It’s like I can’t stop what I’m hearing within  It’s like a face inside that’s right beneath my skin   It’s like I’m paranoid looking over my back  It’s like a whirlwind inside of my head  It’s like I can’t stop what I’m hearing within  It’s like a face inside that’s right beneath my skin",linkin-park
12,"Yeah, watch as the room rocks Mentally moonwalk, mixed media slang Banging in your boom box verbal violence, lyrical stylist In a time when rock hip hop rhymes are childish  You can't tempt me with rhymes that are empty Rapping to a beat doesn't make you an emcee With your lack of skill and facility, you're killing me And a DJ in the group just for credibility  I heard that some of you are getting help with your rhymes You're not an emcee if someone else writes your lines And rapping over rock doesn't make you a pioneer 'Cause rock and hip hop have collaborated for years  But now they're getting randomly mixed and matched up All after a fast buck and all the tracks suck So how does it stack up? None of it's real You want to be an emcee? You've got to study the skill  Who can rock a rhyme like this? Bring it to you every time like this? Who can rock a rhyme like this? Step, step up, step, step up  So you pick up a pen and write yourself a new identity But mentally you don't have the hip hop energy With a tendency to make up stories Sounding like the only hip hop you've heard is top 40  And your record company is completely missing it All the kids are dissing it for not being legitimate So in a battle you can't hack it, react with whack shit And get smacked with verbal back flips  Get your ass kicked by fabulous battle catalysts It's taken decades for emcees to establish this You're new to hip hop and welcome if your serious But not on the mic, leave that to the experienced  Using the waves of sound, the true master paralyzes His opponents leaving him vulnerable to attack  Who can rock a rhyme like this? Bring it to you every time like this? Who can rock a rhyme like this? Step, step up, step, step up  Who can rock a rhyme like this? Bring it to you every time like this? Who can rock a rhyme like this? Step, step up, step, step up  After years of pain staking research by the world's leading Sound scientists, we here at the sound institute have invented A reliable audio weapons system, actual movement of musical sound In space used to carefully attack and neutralize the cellular structure Of the human body and the question must be asked  Who can rock a rhyme like this? Bring it to you every time like this? Who can rock a rhyme like this? Step, step up, step, step up  Who can rock a rhyme like this? Bring it to you every time like this? Who can rock a rhyme like this? Step, step up, step, step up",linkin-park
13,"I'm tired of being what you want me to be  Feeling so faithless, lost under the surface  I don't know what you're expecting of me  Put under the pressure of walking in your shoes   (Caught in the undertow just caught in the undertow)  Every step that I take is another mistake to you  (Caught in the undertow just caught in the undertow)   I've become so numb I can't feel you there  Become so tired so much more aware  I'm becoming this all I want to do  Is be more like me and be less like you   Can't you see that you're smothering me?  Holding too tightly, afraid to lose control  â€~Cause everything that you thought I would be  Has fallen apart right in front of you   (Caught in the undertow just caught in the undertow)  Every step that I take is another mistake to you  (Caught in the undertow just caught in the undertow)  And every second I waste is more than I can take   I've become so numb I can't feel you there  Become so tired so much more aware  I'm becoming this all I want to do  Is be more like me and be less like you   And I know I may end up failing too  But I know you were just like me  With someone disappointed in you   I've become so numb I can't feel you there  Become so tired so much more aware  I'm becoming this all I want to do  Is be more like me and be less like you   I've become so numb I can't feel you there  I'm tired of being what you want me to be  I've become so numb I can't feel you there  I'm tired of being what you want me to be",linkin-park
14,"Yeah here we go for the hundred time Hand grenade pins in every line Throw 'em up and let something shine Going out of my ******* mind  Filthy mouth, no excuse Find a new place to hang this noose String me up from atop these roofs Knot it tight so I won't get loose  Truth is you can stop and stare Run myself out and no one cares Dug a trench out, laid down there With a shovel up out of reach somewhere  Yeah someone pour it in Make it a dirt dance floor again Say your prayers and stomp it out When they bring that chorus in  I bleed it out, digging deeper just to throw it away I bleed it out, digging deeper just to throw it away I bleed it out, digging deeper just to throw it away Just to throw it away, just to throw it away  I bleed it out, go, stop the show Choppy words in a sloppy flow Shotgun, I pull, lock and load Cock it back and then watch it go  Mama help me I've been cursed Death is rolling in every verse Candy paint on his brand new Hearse Can't contain him he knows he works  **** this hurts, I won't lie Doesn't matter how hard I try Half the words don't mean a thing And I know that I won't be satisfied  So why try ignoring him? Make it a dirt dance floor again Say your prayers and stomp it out When they bring that chorus in  I bleed it out, digging deeper just to throw it away I bleed it out, digging deeper just to throw it away I bleed it out, digging deeper just to throw it away Just to throw it away, just to throw it away  I bleed it out I've opened up these skies I'll make you face this I pulled myself so far I'll make you face this now  I bleed it out, digging deeper just to throw it away I bleed it out, digging deeper just to throw it away I bleed it out, digging deeper just to throw it away Just to throw it away, just to throw it away  I bleed it out, digging deeper just to throw it away I bleed it out, digging deeper just to throw it away I bleed it out, digging deeper just to throw it away Just to throw it away, just to throw it away  I bleed it out I bleed it out I bleed it out",linkin-park
15,"Yo, yo, forfeit the game Before somebody else Takes you out of the frame Puts your name to shame  Cover up your face You can't run the race The pace is too fast Just won't last  You love the way I look at you While taking pleasure in the Awful things you put me through You take away if I give in My life, my pride is broken  You like to think you're never wrong (You like to think you're never wrong) You have to act like you're someone (You have to act like you're someone)  You want someone to hurt like you (You want someone to hurt like you) You want to share what you've been through (You live what you've learned)  You love the things I say I'll do The way I'll hurt myself again Just to get back at you You take away when I give in My life, my pride is broken  You like to think you're never wrong (You like to think you're never wrong) You have to act like you're someone (You have to act like you're someone)  You want someone to hurt like you (You want someone to hurt like you) You want to share what you've been through (You live what you've learned)  Yo, yo, forfeit the game Before somebody else Takes you out of the frame Puts your name to shame  Cover up your face You can't run the race The pace is too fast You just won't last  Forfeit the game Before somebody else Takes you out of the frame Puts your name to shame  Cover up your face You can't run the race The pace is too fast You just won't last  You like to think you're never wrong You have to act like you're someone (You have to act like you're someone) You want someone to hurt like you (You want someone to hurt like you) You want to share what you've been through  You like to think you're never wrong (You like to think you're never wrong) You have to act like you're someone (You have to act like you're someone)  You want someone to hurt like you (You want someone to hurt like you) You want to share what you've been through (You live what you've learned)",linkin-park
16,"I don't know who to trust, no surprise  Everyone feels so far away from me  Heavy thoughts sift through dust and the lies   Trying not to break  But I'm so tired of this deceit  Every time I try to make myself  Get back up on my feet   All I ever think about is this  All the tiring time between  And how trying to put my trust in you  Just takes so much out of me   Take everything from the inside  And throw it all away  'Cause I swear for the last time  I won't trust myself with you   Tension is building inside, steadily  Everyone feels so far away from me  Heavy thoughts forcing their way out of me   Trying not to break  But I'm so tired of this deceit  Every time I try to make myself  Get back up on my feet   All I ever think about is this  All the tiring time between  And how trying to put my trust in you  Just takes so much out of me   Take everything from the inside  And throw it all away  'Cause I swear for the last time  I won't trust myself with you   I won't waste myself on you  You, you  Waste myself on you  You, you   I'll take everything from the inside  And throw it all away  'Cause I swear for the last time  I won't trust myself with you   Everything from the inside  And just throw it all away  'Cause I swear for the last time  I won't trust myself with you  You, you",linkin-park
17,"It's easier to run  Replacing this pain with something more  It's so much easier to go  Than face all this pain here all alone   Something has been taken from deep inside of me  The secret I've kept locked away, no one can ever see  Wounds so deep they never show, they never go away  Like moving pictures in my head for years and years, they've played   If I could change I would take back the pain I would  Retrace every wrong move that I made I would  If I could stand up and take the blame I would  If I could take all the shame to the grave I would   If I could change I would take back the pain I would  Retrace every wrong move that I made I would  If I could stand up and take the blame I would  I would take all my shame to the grave   It's easier to run  Replacing this pain with something numb  It's so much easier to go  Than face all this pain here all alone   Sometimes I remember the darkness of my past  Bringing back these memories, I wish I didn't have  Sometimes I think of letting go and never looking back  And never moving forward so there'd never be a path   If I could change I would take back the pain I would  Retrace every wrong move that I made I would  If I could stand up and take the blame I would  If I could take all the shame to the grave I would   If I could change I would, take back the pain I would  Retrace every wrong move that I made I would  If I could stand up and take the blame I would  I would take all my shame to the grave   Just watching in the sun  All of my helplessness inside  Pretending, I don't feel misplaced  It's so much simpler to change   It's easier to run  Replacing this pain with something numb  It's so much easier to go  Than face all this pain here all alone   It's easier to run  If I could change I would take back the pain I would  Retrace every wrong move that I made  It's easier to go   If I could change I would take back the pain I would  Retrace every wrong move that I made I would  If I could stand up and take the blame I would  I would take all my shame to the grave",linkin-park
18,"I cannot take this anymore I'm saying everything I've said before All these words they make no sense  I found bliss in ignorance Less I hear the less you'll say But you'll find that out anyway Just like before  Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to break  I find the answers aren't so clear Wish I could find a way to disappear All these thoughts they make no sense  I found bliss in ignorance Nothing seems to go away Over and over again Just like before  Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to break  Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to break  Shut up when I'm talking to you Shut up, shut up, shut up Shut up when I'm talking to you Shut up, shut up, shut up, shut up  I'm about to break  Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to break  Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to break",linkin-park
19,"I watch how the moon sits in the sky in the dark night Shining with the light from the sun And sun doesn't give light to the moon assuming The moon's gonna owe it one  It makes me think of how you act for me You do favors then rapidly You just turn around and start askin' me about Things that you want back from me  I'm sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest  I wanna be in another place I hate when you say you don't understand   (You'll see it's not meant to be) I wanna be in the energy, not with the enemy A place for my head  Maybe some day I'll be just like you And step on people like you do And run away all the people I thought I knew I remember back then who you were  You used to be calm, used to be strong Used to be generous, you should have known That you'd wear out your welcome and now you see How quiet it is all alone  I'm so sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest  I'm so sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest  I wanna be in another place I hate when you say you don't understand   (You'll see it's not meant to be) I wanna be in the energy, not with the enemy A place for my head  You try to take the best of me, go away You try to take the best of me, go away You try to take the best of me, go away You try to take the best of me, go away  You try to take the best of me, go away You try to take the best of me, go away You try to take the best of me, go away You try to take the best of me, go away  I wanna be in another place I hate when you say you don't understand   (You'll see it's not meant to be) I wanna be in the energy, not with the enemy A place for my head Shut up!  I am so sick of the tension   (Stay) Sick of the hunger Sick of you acting like I owe you this (A) Find another place to feed your greed While I find a place to rest  I'm so sick of the tension   (Way) Sick of the hunger Sick of you acting like I owe you this (Stay away from me) Find another place to feed your greed While I find a place to rest",linkin-park
20,"I dreamed I was missing You were so scared But no one would listen 'Cause no one else cared  After my dreaming I woke with this fear What am I leaving When I'm done here?  So if you're asking me I want you to know  When my time comes Forget the wrong that I've done Help me leave behind some Reasons to be missed  And don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest, leave out all the rest  Don't be afraid I've taken my beating I've shed but I'm me  I'm strong on the surface Not all the way through I've never been perfect But neither have you  So if you're asking me I want you to know  When my time comes Forget the wrong that I've done Help me leave behind some Reasons to be missed  Don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest, leave out all the rest  Forgetting all the hurt inside You've learned to hide so well Pretending someone else can come And save me from myself I can't be who you are  When my time comes Forget the wrong that I've done Help me leave behind some Reasons to be missed  Don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest, leave out all the rest  Forgetting all the hurt inside You've learned to hide so well Pretending someone else can come And save me from myself I can't be who you are I can't be who you are",linkin-park
21,"Linkin Park Reanimation [email protected] Graffiti sky, sky, sky [echo fade]  (I don't think you all ready)   Graffiti decorations under a sky of grey  This constant apprehension still giving me away  The lessons I've forgotten  Inside of all I've learned  Now I find myself in question  (point the finger at me again)  Guilty by association  (point the finger at me again)   I wanna runaway  (I wanna runaway)  I wanna know the truth  (I wanna know the truth)  I wanna know the answers  (I wanna know the answers)  I wanna shut the door  (And open up my mind)  And open up my mind  (And open up my mind)   Paper bags and angry voices under a sky of grey  This constant apprehension won't seem to go away  All my talk of starting over  These words were never true  Now I find myself in question  (point the finger at me again)  I'm guilty by association  (point the finger at me again)   I wanna runaway  (I wanna runaway)  I wanna know the truth  (I wanna know the truth)  I wanna know the answers  (I wanna know the answers)  I wanna shut the door  (And open up my mind)  And open up my mind  (And open up my mind)   Gonna runaway, gonna runaway  Gonna runaway, gonna runaway  Runaway [being scratched over and over again]  (Ya'll not ready)   Hey yo  I dont think ya'll ready for what I'm about to do  Y'all new school dudes ain't even got no clue  How dare you forget about Bam and Zulu  Two urban jazz DJ's they paved the way  Let me spit it to y'all who said I wasn't gonna make it  Everytime I blaze it, ya'll the first to hate it  My team rains supreme and stays strong  Every 2 series son, they scared to put us on  Can't get with the high prince, get off your atis  Too many of y'all is dyin' for us so I gotta blaze it  I'm still reppin BK, Brooklyn D and on  Hell fire and family allienation  Banging hits in the backyard  Out on the episode  I'm a little kid named  Phoenix Orion   I wanna runaway  (I wanna runaway)  I wanna know the truth  (I wanna know the truth)  I wanna know the answers  (I wanna know the answers)  I wanna shut the door  (And open up my mind)  And open up my mind  (And open up my mind)",linkin-park
22,"When I look into your eyes There's nothing there to see Nothing but my own mistakes Staring back at me  I've lied to you This is the last smile That I'll fake for the sake Of being with you  Everything falls apart Even the people who never frown Eventually break down  Everything has to end You'll soon find We're out of time left To watch it all unwind (The sake of being with you)  Everything falls apart Even the people who never frown Eventually break down  The sacrifice is never knowing  Why I stay When you just push away No matter what you see You're still so blind to me  I've tried like you to do Everything you wanted to This is the last time, I'll take the blame For the sake of being with you  Everything falls apart Even the people who never frown Eventually break down  The sacrifice of hiding in a lie  Everything has to end You'll soon find We're out of time left To watch it all unwind  The sacrifice is never knowing  Why I stay When you just push away No matter what you see You're still so blind to me  Reverse psychology Is failing miserably It's so hard to be Left all alone  Telling you is the Only chance for me There's nothing left But to turn and face you  When I look into your eyes There's nothing there to see Nothing but my own mistakes Staring back at me, asking  Why the sacrifice of hiding in a lie The sacrifice is never knowing  Why I stay When you just push away No matter what you see You're still so blind to me  Why I stay When you just push away No matter what you see You're still so blind to me",linkin-park
