,0
11,linkin park miscellaneous pprkutfeat cheapshot jubacca rasco planet asia uh yeah feel like night today right today uptight today paranoia get leave know stress pressure fed know feel like voice head like face hold inside face awake close eye face watch everytime lie face laugh everytime fall watch know time sink swim face inside hear right underneath skin like paranoid look like whirlwind inside head like stop hear like face inside right beneath skin hey yo pain feel real mind find place name face memory race speed degree sould bleed devil plant seed feel like wall take fall respond know trust scream need somebody help frame try master want smoke blasttobeat keep talk consciously responsibly keep haunt dusk til dawn voice inside head get project paranoia cold sweat shine face expose purpose rip skin probably find person bad try bring dead advise listen voice head like paranoid look like whirlwind inside head like stop hear like face inside right beneath skin like paranoid look like whirlwind inside head like stop hear like face inside right beneath skin face inside right beneath skin face inside right beneath skin face inside right beneath skin face inside right beneath skin sun go feel light betray sun go like paranoid feel light betray sun go stop hear like face inside right beneath skin like paranoid look like whirlwind inside head like stop hear like face inside right beneath skin like paranoid look like whirlwind inside head like stop hear like face inside right beneath skin
12,yeah watch room rock mentally moonwalk mixed medium slang bang boom box verbal violence lyrical stylist time rock hip hop rhyme childish not tempt rhyme rapping beat not emcee lack skill facility kill dj group credibility hear get help rhyme emcee write line rap rock not pioneer cause rock hip hop collaborate year get randomly mix match fast buck track suck stack real want emcee have get study skill rock rhyme like bring time like rock rhyme like step step step step pick pen write new identity mentally not hip hop energy tendency story sound like hip hop have hear record company completely miss kid diss legitimate battle not hack react whack shit smack verbal flip ass kick fabulous battle catalyst taken decade emcee establish new hip hop welcome mic leave experienced wave sound true master paralyze opponent leave vulnerable attack rock rhyme like bring time like rock rhyme like step step step step rock rhyme like bring time like rock rhyme like step step step step year pain staking research world lead sound scientist sound institute invent reliable audio weapon system actual movement musical sound space carefully attack neutralize cellular structure human body question ask rock rhyme like bring time like rock rhyme like step step step step rock rhyme like bring time like rock rhyme like step step step step
13,be tired want feel faithless lose surface not know expect pressure walk shoe catch undertow catch undertow step mistake catch undertow catch undertow have numb not feel tired aware be want like like not smother hold tightly afraid lose control think fall apart right catch undertow catch undertow step mistake catch undertow catch undertow second waste have numb not feel tired aware be want like like know end fail know like disappointed have numb not feel tired aware be want like like have numb not feel be tired want have numb not feel be tired want
14,yeah time hand grenade pin line throw -PRON- let shine go mind filthy mouth excuse find new place hang noose string atop roof knot tight will not loose truth stop stare run care dig trench lay shovel reach yeah pour dirt dance floor prayer stomp bring chorus blee dig deeply throw away blee dig deeply throw away blee dig deeply throw away throw away throw away blee stop choppy word sloppy flow shotgun pull lock load cock watch mama help have curse death roll verse candy paint brand new hearse not contain know work hurt will not lie not matter hard try half word not mean thing know will not satisfied try ignore dirt dance floor prayer stomp bring chorus blee dig deeply throw away blee dig deeply throw away blee dig deeply throw away throw away throw away blee have open sky ill face pull far ill face blee dig deeply throw away blee dig deeply throw away blee dig deeply throw away throw away throw away blee dig deeply throw away blee dig deeply throw away blee dig deeply throw away throw away throw away blee blee blee
15,yo yo forfeit game somebody take frame put shame cover face not run race pace fast will not love way look take pleasure awful thing away life pride break like think wrong like think wrong act like act like want hurt like want hurt like want share have live have learn love thing ill way ill hurt away life pride break like think wrong like think wrong act like act like want hurt like want hurt like want share have live have learn yo yo forfeit game somebody take frame put shame cover face not run race pace fast will not forfeit game somebody take frame put shame cover face not run race pace fast will not like think wrong act like act like want hurt like want hurt like want share have like think wrong like think wrong act like act like want hurt like want hurt like want share have live have learn
16,not know trust surprise feel far away heavy thought sift dust lie try break be tired deceit time try foot think tiring time try trust take inside throw away cause swear time will not trust tension build inside steadily feel far away heavy thought force way try break be tired deceit time try foot think tiring time try trust take inside throw away cause swear time will not trust will not waste waste ill inside throw away cause swear time will not trust inside throw away cause swear time will not trust
17,easy run replace pain easy face pain take deep inside secret have keep lock away wound deep away like move picture head year year have play change pain retrace wrong stand blame shame grave change pain retrace wrong stand blame shame grave easy run replace pain numb easy face pain remember darkness past bring memory wish not think let look move forward d path change pain retrace wrong stand blame shame grave change pain retrace wrong stand blame shame grave watch sun helplessness inside pretend not feel misplace simple change easy run replace pain numb easy face pain easy run change pain retrace wrong easy change pain retrace wrong stand blame shame grave
18,anymore be say have say word sense find bliss ignorance hear will will find like take step close edge be break need little room breathe cause be step close edge be break find answer not clear wish find way disappear thought sense find bliss ignorance away like take step close edge be break need little room breathe cause be step close edge be break take step close edge be break need little room breathe cause be step close edge be break shut be talk shut shut shut shut be talk shut shut shut shut be break take step close edge be break need little room breathe cause be step close edge be break take step close edge be break need little room breathe cause be step close edge be break
19,watch moon sit sky dark night shine light sun sun not light moon assume moon go to owe make think act favor rapidly turn start askin thing want be sick tension sick hunger sick act like owe find place feed greed find place rest wanna place hate not understand will mean wanna energy enemy place head maybe day ill like step people like run away people think know remember calm strong generous know d wear welcome quiet be sick tension sick hunger sick act like owe find place feed greed find place rest be sick tension sick hunger sick act like owe find place feed greed find place rest wanna place hate not understand will mean wanna energy enemy place head try good away try good away try good away try good away try good away try good away try good away try good away wanna place hate not understand will mean wanna energy enemy place head shut sick tension stay sick hunger sick act like owe find place feed greed find place rest be sick tension way sick hunger sick act like owe stay away find place feed greed find place rest
20,dream miss scared listen cause care dream wake fear leave be ask want know time come forget wrong have help leave reason miss not resent feel memory leave rest leave rest not afraid have take beating have shed be be strong surface way have perfect ask want know time come forget wrong have help leave reason miss not resent feel memory leave rest leave rest forget hurt inside have learn hide pretend come save not time come forget wrong have help leave reason miss not resent feel memory leave rest leave rest forget hurt inside have learn hide pretend come save not not
21,linkin park reanimation email protect graffiti sky sky sky echo fade not think ready graffiti decoration sky grey constant apprehension give away lesson have forget inside have learn find question point finger guilty association point finger wanna runaway wanna runaway wanna know truth wanna know truth wanna know answer wanna know answer wanna shut door open mind open mind open mind paper bag angry voice sky grey constant apprehension will not away talk start word true find question point finger be guilty association point finger wanna runaway wanna runaway wanna know truth wanna know truth wanna know answer wanna know answer wanna shut door open mind open mind open mind go to runaway go to runaway go to runaway go to runaway runaway scratch -PRON- ready hey yo not think -PRON- ready be -PRON- new school dude be not get clue dare forget bam zulu urban jazz djs pave way let spit -PRON- say not go to everytime blaze -PRON- hate team rain supreme stay strong series son scare not high prince atis -PRON- dyin get to blaze be reppin bk brooklyn d hell fire family allienation banging hit backyard episode be little kid name phoenix orion wanna runaway wanna runaway wanna know truth wanna know truth wanna know answer wanna know answer wanna shut door open mind open mind open mind
22,look eye s mistake stare have lie smile ill fake sake fall apart people frown eventually break end will soon find time leave watch unwind sake fall apart people frown eventually break sacrifice know stay push away matter blind have try like want time ill blame sake fall apart people frown eventually break sacrifice hide lie end will soon find time leave watch unwind sacrifice know stay push away matter blind reverse psychology fail miserably hard leave tell chance s leave turn face look eye s mistake stare ask sacrifice hide lie sacrifice know stay push away matter blind stay push away matter blind
23,close lock window close blind turn away solution not simple goodbye way sun set sun set shadow day embrace world grey sun set pink card flower window friend plead stay beginning not simple goodbye way sun set sun set shadow day embrace world grey sun set shadow day embrace world grey sun set shadow day embrace world grey sun set
24,go to fight cause fight think s love sure have hurt long have get leave lose go to fight cause fight weight world keep let think compassion flaw will let sure have hurt way know someday weight world strength hold weight world strength hold weight world strength hold weight world strength hold weight world strength
25,linkin park miscellaneous go thank email protect lyric feat executioner know threaten think worth hold mean have hear pretty ugly thing guy ugly story watch flee watch flee rap watch flee hiphop hit u like go rhythm project round sound relfect complex hybrid dialect detect mesh element compress melting pot super futeresque style combination vocal care ness lung gasp breath emotional stress distorted collage carefully lodge beat rhythmic barrage pre chorus go local progression time line seperation narrow fine line blur edge blend gether properly audible odyssey logical progression time line seperation narrow fine line blur edge blend gether properly audible odyssey go say go lyk u lyk go say go lyk dis u lyk go compose sentence venomous element natural force project daily sound blend sword tha pen mightiest chin elevate mental state long go tha wind defend man shoddy imatation pretend go stallence emulation readily trekking weaponry pure pedigree cleverly see ahead tha weather invent steadily go subterrestrial high rhyme regiment s callin tha shot execution collaborative plot ready bring seperation style stop pre chorus x say go like lyk dis go say go lyk dis lyk dis go xman bout blast world wide yo request xman bout blast world wide build scratch album store soon bout blast world wide u lyk dis go say go lyk dis u lyk dis go say go lyk dis lyk dis go like dis
26,linkin park miscellaneous friendship friendship jam mess sos feel happy land jail be bail friendship friendship perfect blendship friendship forget hot lahdleahdleahdle dig dig dig tree phone re bell lose tooth dine borrow friendship friendship perfect blendship friendship forgate great lahdleahdleahdle chuck chuck chuck black eye wise cook goose turn loose bullet brrain sic ill complain friendship friendship perfect blendship friendship forgit lahdleahdleahdle hep hep hep
27,memory consume like open wound be pick apart assume be safe room try start not want battle choose cause inside realize be confuse not know s worth fight scream not know instigate not mean not know get way know alright be break habit be break habit tonight clutch cure tightly lock door try catch breath hurt anytime option leave not want battle choose cause inside realize be confuse not know s worth fight scream not know instigate not mean not know get way ill alright be break habit be break habit tonight ill paint wall cause be fault ill fight end not know s worth fight scream clarity mean not know get way ill alright be break habit be break habit be break habit tonight
28,ignore follow instinct blindly hide pride bad dream sad thought madden sit try stand try catch redhande trust fool phoniness trust live loneliness not hold be stretch thin right move be lose daily facade end get hurt ask mind find not rely ask mind find not rely not hold want be stretch thin not hold watch spin thought failure sink turn be defenseless blindly senseless hide pride let will go let ill outdo try catch ill outrun be kill question like cancer ill bury silence answer ask mind find not rely ask mind find not rely not hold want be stretch thin not hold watch spin thought failure sink think have lose be afraid be touch expect know know tell not know not tell matter hard try not convince be stick outside not know not tell matter hard try not convince be stick outside not hold want be stretch thin not hold watch spin thought failure sink not hold want be stretch thin not hold watch spin thought failure sinking
29,linkin park miscellaneous reanimation remix forgotten alchemist feat chali na stop core be forget middle thought take far safety picture memory will not escape stick place dark hardly manner matter split word breathe rain drip acidic question block sight power duck away darkness time wind rust world eye shut tight blur world pretend eye ease open dark stop core be forget middle thought take far safety picture memory will not escape care memory will find eye burn darkness hold tight sun rise listen sound dizzy up down nauseate polluted rott s watchin wheel car pass look past light long shadow cast window grow capture eye cry yellow light pass young shadowy figure sit box inside building rock antenna stop land pain sane lose know game inside change box stay figure inside bear anybodys memory time like paper come someday be hopin close eye pretend crumple paper perfect yo stop core be forget middle thought take far safety picture memory will not escape be podium talk ceremonial offering dedicate urban dysfunctional offspring s happenin city government eternally nappin trap greedy covenant causein urban collapsin bullet scar soul dark hold car steal heart blacker charcoal real society deprivation depend difference separation preparation limited aide minimum wage livin tenement cage innocent pay tragedy parade darkness overspread like permanent plauge be forget memory will find eye burn darkness hold tight sun rise
30,hey yo start linkin park middle come motion man end kutmasta kurt remix thing not not matter hard try mind design rhyme obsess time know time slip away watch count end day watch watch word echo clock rhythm vein know not look watch time right window try grab hold try watch waste hand clock end matter pretend journey important end start mean eventually memory time try hard try hard get far end not matter fall lose end not matter hey yo thing thing not know not matter hard try mind design rhyme explain time know socialize like host party spost shake need contact party toe strong mat northeast southwest coast be stare window opportunity mendel try disorda weak system defordere bring thing like imaginary man dream d worth pig skin nerve feel lever pleather real bring pleasure mean mean be leave teen holler teen magazine try hard try hard get far end not matter fall lose end not matter linkin park remix motion man linkin park end end kutmasta kurt linkin park remix motion man linkin park end end kutmasta kurt remix thing not know not matter look cuz design rhyme scared scare fall not try crawl force run mockin stoppin stab constantly remember time fight watch clock mount chock hiphopcrisy mouth wish inhale single little thing say thing fail single word sputter peace not matter cuz start end matter pretend journey important end start mean eventually memory time try hard try hard get far end not matter fall lose end not matter end
31,linkin park reanimation riff raff hey mike s ron ya know week chatroom touchin face easter go umm seein go to joe soon keyboard have try have try not return message ya angle uh
32,feel like night today here right today uptight today paranoias get leave not know stress pressure fed know feel like voice head like face hold inside face awake close eye face watch time lie face laugh time fall watch know time sink swim face inside hear right underneath skin like be paranoid lookin like whirlwind inside head like not stop be hearing like face inside right beneath skin know have get face point mistake have get face inside paranoias probably bad not know set know not stand everybody act like fact matter not add everybody face hold inside face awake close eye face watch time lie face laugh time fall watch know time sink swim face inside watch right inside skin like be paranoid lookin like whirlwind inside head like not stop be hearing like face inside right beneath skin like be paranoid lookin like whirlwind inside head like not stop be hearing like face inside right beneath skin face inside right beneath skin face inside right beneath skin face inside right beneath skin sun go feel light betray sun go feel light betray like be paranoid lookin sun like whirlwind inside head like not stop be hearing like face inside right beneath skin feel light betray like be paranoid lookin sun like whirlwind inside head like not stop be hearing like not stop be hearing feel light betray like not stop be hearing sun like face inside right beneath skin
33,use deadwood fire rise blood innocence burn sky fill cup rise sea pour ocean debris be swimming smoke bridge burn not apologize be lose not deserve not deserve hold breath cloud begin form lose beating storm end mean apart like separate chamber human heart be swimming smoke bridge burn not apologize be lose not deserve blacken bone bridge burn not apologize be lose not deserve not deserve be swimming smoke bridge burn not apologize be lose not deserve blame bridge burn not apologize be lose not deserve not deserve not deserve not deserve use deadwood fire rise blood innocence burn sky
34,hybrid have diggin crate livin space rat race monkeys human trait master numerology big bang theology perform lobotomy telekinetic psychology invent mic start blessin chincheckin kid point like impressionist man try shake twist mic chord like double helix be buckle knee like leg brace cast spell instrumentalist mcs hate try leave shoulder cry infinite let icon bygone fire bomb ghostly note haunt try threat move promise stomp shit accomplice run gauntlet want high voltage unforgettable sound high voltage bringin takin high voltage comin high voltage make rhythm rhyme collide have kink backbone clone microphone satisfy rhymes jones spray bright day blood type krylon technicolor type highway write road rage cage wind cage tin bounce surround sound devour scene subliminal gangrene painting thing sing song karaoke copy bullshit break bone verbally stick stone tactic forth dimension combat convention write rhyme ease track stand attention mean away pencil pistol official sixteen line rhyme missile risk pick flaw singe rah blah blah blah see high voltage unforgettable sound high voltage bringin takin high voltage comin high voltage make rhythm rhyme collide high voltage unforgettable sound high voltage bringin takin high voltage comin high voltage make rhythm rhyme collide s man demand hand land rover mans bold pharaohe jam glance visclorosuos ferocious spy eye extremely high voltage s need ruby quartz glass cause glance s chance blast masse subliminal transmit piano integrate flow calculate nano use skill need plea heat rhyme hear bleed proceed time walk wall inanimate obstacle enduce reduction cell molecule bring knowledge swallow state s hologram botch head fatten lip like collagen telepath deliver verse postage mike shinoda pharoahe monche high voltage high voltage unforgettable sound high voltage bringin takin high voltage comin high voltage make rhythm rhyme collide high voltage unforgettable sound high voltage bringin takin high voltage comin high voltage make rhythm rhyme collide high voltage incomprehensible linkin park linkin park linkin park
35,linkin park reanimation pprkut feel like night today here right today uptight today parnoias get leave not know stress pressure fed know feel like voice head like face hold inside face awake close eye face watch everytime lie face laugh everytime fall watch know time sink swim face inside hear right beneath skin chorus like be paranoid look like whirlwind inside head like not stop be hearing like face inside right beneath skin hey yo pain feel not real mind find place name face memory race speed degree soul bleed devil have plant seed feel like back wall be take fall nobodys respond not trust scream need somebody help flame be tryin master want smoke blaster beat keep talk consciously responsibly keep haunt dusk till dawn ya voice inside head get projected paranoia cold sweat shine face expose purpose rip skin d probly find verse nothing bad try bring dead advise listen voice head chorus face inside right beneath skin x sun go feel light betray x chorus x
36,forfeit game stop talk product teach know forfeit game cause tomorrow reap sow love way look take pleasure awful thing away life pride break like think wrong live have learn act like live have learn want hurt like live have learn want share have live have learn love thing way hurt away life pride break like think wrong live have learn act like live have learn want hurt like live have learn want share have live have learn forfeit game stop talk product teach know forfeit game cause tomorrow reap sow forfeit game stop talk product teach know forfeit game cause tomorrow reap sow like think wrong live have learn act like live have learn want hurt like live have learn want share have live have learn like think wrong live have learn act like live have learn want hurt like live have learn want share have live have learn
37,stand direction fall far search perfection know will not find fear flaw let run til silence split open run til put underground til breath road leave lose sense purpose regain s lose inside feel like deserve pain look like pride fear flaw let let fear flaw run til silence split open run til put underground til breath road leave road leave fear flaw let run silence split open run put underground s regret road leave run
38,think ohhhohhohoh predictable finally take far expose pretend start apology ohhhohhohoh shot pretendable finally take far expose pretend take far expose pretend oh oh oh ah ah oh oh oh oh ah ah oh oh oh oh ah ah oh oh oh oh ah ah oh oh oh oh ah ah oh oh oh oh ah ah oh oh oh oh ah ah oh take far expose pretend take far expose pretend
39,stand wake devastation wait edge unknown cataclysm rain inside cry save impossibly feel cold lose desperation build hope failure have know remember sadness frustration let let burst light blind angel sky blow heaven stone feel gravity temper grace fall space catch arm feel cold lose desperation build hope failure have know remember sadness frustration let let feel cold lose desperation build hope failure have know remember sadness frustration let let let let let feel cold lose desperation build hope failure have know remember sadness frustration let let
40,linkin park miscellaneous high voltage remix thank email protect lyric know mean label life label lifestyle know label wake morning bed night hybrid diggin crate livin space ratrace monkey human trait master numerology bigbang theology perform lobotomy telekinetic psychology invent mic start blessin chincheckin kid point like impressionist man try shake twist mic cord double helix buckle knee like leg brace cast spell instrumentalness emcee hate try leave shoulder cry infinity let icon bygone fire bomb ghostly note haunt try threat move promise stomp shit accomplice run gauntlet want high voltage unforgettable sound high voltage bring take high voltage come high voltage make rhythm rhyme collide akira kink backbone clone microphone satisfy rhyme jones sprayin bright day blood type krylon technicolor type highway ride road rage cage wind cage tin bounce surround sound devour scene subliminal gangrene painting thing sing song karaoke copy bullshit break bone verbally stick stone tactic fourth dimension combat convention write rhyme ease track stand attention mean away pencil pistol official line rhyme missile risk pick flaw spin rah blah blah blah see high voltage unforgettable sound high voltage bring take high voltage come high voltage make rhythm rhyme collide high voltage unforgettable sound high voltage bring take high voltage come high voltage make rhythm rhyme collide like rock rap know mean people act like know wow new invention shit brand new constantly evolve constantly change s lot change everybodys label be label shit go to try label try create water feel like prophet misunderstood gun like new disease feel like prophet misunderstood gun like new disease high voltage unforgettable sound high voltage bring take high voltage come high voltage make rhythm rhyme collide high voltage unforgettable sound high voltage bring take high voltage come high voltage make rhythm rhyme collide high voltage unforgettable sound high voltage bring take high voltage come high voltage make rhythm rhyme collide high voltage unforgettable sound high voltage bring take high voltage come high voltage make rhythm rhyme collide know mean label lifestyle
41,stop thought pain attach wonder happen like distract think shoot cause infinite word pain give display not realize instead set free take hate go away go away have will right have will fear not separate have give have let hear memory come remember start happen d thought thought slowly find word attach know escape away commit -PRON- day regret say thing cause take hate go away go away have will right have will fear not separate have give have let go away go away go away go away away gimme space get to come memory have keep be let know have let away gimme space get to come memory have keep be let know have let have will right have will fear not separate have give have let have let have let lose inside thought give have let
42,little bit loneliness little bit disregard handful complaint help fact everybody scar want want want feel like matter not convince believe real let watch turn like face away pretend be ill cause want have get not feel way not turn will not ignore time will not heal damage anymore not turn will not ignore little bit insecure little unconfident cause not understand not sense wanna have doubt like matter not convince hear let watch turn like face away pretend be ill cause want have get not feel way not turn will not ignore time will not heal damage anymore not turn will not ignore hear go to listen like right hear go to listen like right not feel way not turn will not ignore not feel way not turn will not ignore time will not heal damage anymore not turn will not ignore not feel not turn will not ignore time will not heal not turn will not ignore
43,crawl skin wound heal fear fall confuse real s inside pull beneath surface consume confuse lack self control fear end control not find wall close sense confidence be convince s pressure have feel way insecure crawling skin wound heal fear fall confuse real discomfort endlessly pull distract react stand reflection haunting not find wall close sense confidence be convince s pressure have feel way insecure crawling skin wound heal fear fall confuse real crawling skin wound heal fear fall confuse confusing real s inside pull beneath surface consume confuse real lack self control fear end control confuse real
44,wake dream today cold static cold foot floor forget yesterday remember be pretend be anymore little taste hypocrisy be leave wake mistake slow react close distant not bring true way feel promise face sound voice paint memory be keep inside close eye hit hit fall floor rest day stand fine line thing wrong pretend past not real be trap memory be leave wake mistake slow react close distant not bring true way feel promise face sound voice paint memory be keep inside close eye keep inside close eye matter far have come not wait tomorrow matter far have come not wait tomorrow keep inside close eye keep inside close eye
45,anymore be say have say word sense find bliss ignorance hear will will find like take step close edge be break need little room breathe cause be step close edge be break find answer not clear wish find way disappear thought sense find bliss ignorance away like take step close edge be break need little room breathe cause be step close edge be break take step close edge be break need little room breathe cause be step close edge be break shut be talk shut shut shut shut be talk shut shut shut shut be break take step close edge be break need little room breathe cause be step close edge be break take step close edge be break need little room breathe cause be step close edge be break
46,dead wood fire rise blood innocent burn sky fill cup rise sea pour ocean debris oh be swimming smoke bridge burn not apologize be lose not deserve not deserve hold breath cloud begin fall lose beating storm end apart like separate chamber human heart be swimming smoke bridge burn not apologize be lose not deserve blacken bone bridge burn not apologize be lose not deserve not deserve be swimming smoke bridge burn not apologize be lose not deserve blame bridge burn not apologize be lose not deserve not deserve not deserve oh not deserve dead wood fire rise blood innocent burn sky
47,stop core have forget middle thought take far safety picture memory will not escape stick place dark hardly manner matter split word breathe rain drip acidic question block sight power duck away darkness time wind rust world eye shut tight blur world pretend eye ease open dark stop core have forget middle thought take far safety picture memory will not escape care memory will find eye burn darkness hold tightly sun rise listen sound dizzy up down nauseate polluted rock s watchin wheel car pass look past light long shadow cast window grow capture eye cry yellow light pass young shadowy figure sit box inside building rock antenna stop land pain lose know game inside change box stay figure inside bear anybodys memory time like paper come someday be hopin close eye pretend crumple paper perfect stop core have forget middle thought take far safety picture memory will not escape be podium talk ceremonial offering dedicate urban dysfunctional offspring s happen city government eternally nap trap greedy covenant causin urban collapse bullet scar soul dark hold car steal heart blacker charcoal real society deprivation depend difference separation preparation limited aid minimum wage livin tenement cage rent not pay tragedy parade darkness overspread like permanent plauge be forget memory will find eye burn darkness hold tightly sun rise
48,crawl skin crawl skin wound heal wound heal fear fall fear fall confuse real confusing real s inside pull beneath surface consume confuse lack selfcontrol fear end control not find wall close sense confidence be convince s pressure have feel way insecure crawling skin wound heal fear fall confuse real discomfort endlessly pull distract react stand reflection haunting not find wall close sense confidence be convince s pressure have feel way insecure find wall close sense confidence be convince s pressure have feel way insecure crawling skin wound heal fear fall confuse real crawling skin wound heal fear fall confuse confusing real
49,linkin park miscellaneous pts athrty v forfeit game stop talk product teach know forfeit game cause tomorrow reep love way look take pleasure awful thing away life pride break like think wrong live have learn act like live have learn want hurt like live have learn wanna share have live have learn love thing ill way ill hurt away life pride break like think wrong live have learn act like live have learn want hurt like live have learn wanna share have live have learn forfeit game stop talk product teach know forfeit game cause tomorrow reep forfeit game stop talk product teach know forfeit game cause tomorrow reep like think wrong live have learn act like live have learn want hurt like live have learn wanna share have live have learn
50,be tired want feel faithless lose surface not know expect pressure walk shoe catch undertow catch undertow step mistake catch undertow catch undertow have numb not feel tired aware be want like like not smother hold tightly afraid lose control cause think fall apart right catch undertow catch undertow step mistake catch undertow catch undertow second waste have numb not feel tired aware be want like like know end fail know like disappointed have numb not feel tired aware be want like like have numb not feel tryin want have numb not feel tryin want
